username,groups,permission
amadou,,depannage.delete_messageattachment
amadou,,depannage.add_systemconfiguration
amadou,,depannage.change_repairrequest
amadou,,depannage.delete_conversation
amadou,,depannage.delete_repairrequest
amadou,,depannage.view_review
BechirTech,,
farotaclient,,
depan_use,,depannage.delete_client
depan_use,,depannage.change_notification
depan_use,,admin.delete_logentry
depan_use,,depannage.change_message
depan_use,,depannage.add_requestdocument
depan_use,,depannage.change_review
depan_use,,depannage.change_conversation
depan_use,,depannage.view_loyaltyprogram
depan_use,,depannage.add_repairrequest
depan_use,,depannage.delete_notificationpreference
depan_use,,contenttypes.add_contenttype
depan_use,,sessions.add_session
depan_use,,depannage.change_loyaltyprogram
depan_use,,depannage.delete_rewardclaim
depan_use,,depannage.add_message
depan_use,,auth.delete_group
depan_use,,depannage.add_technicianlocation
depan_use,,auth.view_user
depan_use,,depannage.delete_reward
depan_use,,depannage.change_requestdocument
depan_use,,users.delete_user
depan_use,,depannage.view_cinetpaypayment
depan_use,,depannage.delete_technicianlocation
depan_use,,depannage.add_payment
depan_use,,admin.change_logentry
depan_use,,depannage.add_loyaltyprogram
depan_use,,depannage.change_payment
depan_use,,depannage.change_technician
depan_use,,depannage.view_technicianlocation
depan_use,,depannage.delete_systemconfiguration
depan_use,,depannage.add_reward
depan_use,,depannage.change_messageattachment
depan_use,,depannage.delete_technician
depan_use,,auth.add_user
depan_use,,auth.add_group
depan_use,,depannage.change_notificationpreference
depan_use,,admin.view_logentry
depan_use,,depannage.add_client
depan_use,,depannage.change_rewardclaim
depan_use,,depannage.delete_notification
depan_use,,depannage.view_messageattachment
depan_use,,auth.change_permission
depan_use,,depannage.view_payment
depan_use,,depannage.view_rewardclaim
depan_use,,depannage.view_technician
depan_use,,depannage.delete_message
depan_use,,auth.add_permission
depan_use,,depannage.view_conversation
depan_use,,contenttypes.change_contenttype
depan_use,,auth.delete_user
depan_use,,depannage.delete_review
depan_use,,contenttypes.delete_contenttype
depan_use,,depannage.add_review
depan_use,,users.view_user
depan_use,,depannage.add_notification
depan_use,,sessions.view_session
depan_use,,depannage.add_cinetpaypayment
depan_use,,depannage.add_messageattachment
depan_use,,depannage.view_message
depan_use,,depannage.change_cinetpaypayment
depan_use,,depannage.add_rewardclaim
depan_use,,depannage.delete_payment
depan_use,,depannage.view_systemconfiguration
depan_use,,auth.change_group
depan_use,,depannage.change_systemconfiguration
depan_use,,auth.view_permission
depan_use,,depannage.view_notification
depan_use,,depannage.delete_requestdocument
depan_use,,admin.add_logentry
depan_use,,depannage.change_client
depan_use,,users.add_user
depan_use,,depannage.view_repairrequest
depan_use,,auth.view_group
depan_use,,depannage.add_conversation
depan_use,,sessions.delete_session
depan_use,,sessions.change_session
depan_use,,depannage.delete_cinetpaypayment
depan_use,,depannage.change_reward
depan_use,,depannage.add_notificationpreference
depan_use,,auth.delete_permission
depan_use,,depannage.view_client
depan_use,,depannage.change_technicianlocation
depan_use,,depannage.view_notificationpreference
depan_use,,users.change_user
depan_use,,depannage.add_technician
depan_use,,depannage.view_requestdocument
depan_use,,depannage.delete_loyaltyprogram
depan_use,,contenttypes.view_contenttype
depan_use,,auth.change_user
depan_use,,depannage.view_reward
depan_use,,depannage.delete_messageattachment
depan_use,,depannage.add_systemconfiguration
depan_use,,depannage.change_repairrequest
depan_use,,depannage.delete_conversation
depan_use,,depannage.delete_repairrequest
depan_use,,depannage.view_review
testuser,,
Bechir,,
tech_electrician_1,,
tech_electrician_2,,
tech_electrician_3,,
tech_plumber_1,,
tech_plumber_2,,
tech_plumber_3,,
tech_mechanic_1,,
tech_mechanic_2,,
tech_mechanic_3,,
tech_it_1,,
tech_it_2,,
tech_it_3,,
tech_air_conditioning_1,,
tech_air_conditioning_2,,
tech_air_conditioning_3,,
tech_appliance_repair_1,,
tech_appliance_repair_2,,
tech_appliance_repair_3,,
tech_locksmith_1,,
tech_locksmith_2,,
tech_locksmith_3,Technicien,depannage.add_notification
tech_locksmith_3,Technicien,depannage.view_message
tech_locksmith_3,Technicien,depannage.add_messageattachment
tech_locksmith_3,Technicien,depannage.change_technicianlocation
tech_locksmith_3,Technicien,depannage.add_rewardclaim
tech_locksmith_3,Technicien,depannage.view_loyaltyprogram
tech_locksmith_3,Technicien,depannage.change_technician
tech_locksmith_3,Technicien,users.change_user
tech_locksmith_3,Technicien,depannage.add_message
tech_locksmith_3,Technicien,depannage.add_technicianlocation
tech_locksmith_3,Technicien,depannage.view_reward
tech_locksmith_3,Technicien,depannage.view_messageattachment
tech_locksmith_3,Technicien,depannage.view_notification
tech_locksmith_3,Technicien,depannage.view_payment
tech_locksmith_3,Technicien,depannage.view_technician
tech_locksmith_3,Technicien,depannage.change_repairrequest
tech_locksmith_3,Technicien,depannage.view_conversation
tech_locksmith_3,Technicien,depannage.view_repairrequest
tech_locksmith_3,Technicien,depannage.view_technicianlocation
tech_locksmith_3,Technicien,depannage.add_conversation
tech_other_1,,
tech_other_2,Technicien,depannage.add_notification
tech_other_2,Technicien,depannage.view_message
tech_other_2,Technicien,depannage.add_messageattachment
tech_other_2,Technicien,depannage.change_technicianlocation
tech_other_2,Technicien,depannage.add_rewardclaim
tech_other_2,Technicien,depannage.view_loyaltyprogram
tech_other_2,Technicien,depannage.change_technician
tech_other_2,Technicien,users.change_user
tech_other_2,Technicien,depannage.add_message
tech_other_2,Technicien,depannage.add_technicianlocation
tech_other_2,Technicien,depannage.view_reward
tech_other_2,Technicien,depannage.view_messageattachment
tech_other_2,Technicien,depannage.view_notification
tech_other_2,Technicien,depannage.view_payment
tech_other_2,Technicien,depannage.view_technician
tech_other_2,Technicien,depannage.change_repairrequest
tech_other_2,Technicien,depannage.view_conversation
tech_other_2,Technicien,depannage.view_repairrequest
tech_other_2,Technicien,depannage.view_technicianlocation
tech_other_2,Technicien,depannage.add_conversation
tech_other_3,Technicien,depannage.add_notification
tech_other_3,Technicien,depannage.view_message
tech_other_3,Technicien,depannage.add_messageattachment
tech_other_3,Technicien,depannage.change_technicianlocation
tech_other_3,Technicien,depannage.add_rewardclaim
tech_other_3,Technicien,depannage.view_loyaltyprogram
tech_other_3,Technicien,depannage.change_technician
tech_other_3,Technicien,users.change_user
tech_other_3,Technicien,depannage.add_message
tech_other_3,Technicien,depannage.add_technicianlocation
tech_other_3,Technicien,depannage.view_reward
tech_other_3,Technicien,depannage.view_messageattachment
tech_other_3,Technicien,depannage.view_notification
tech_other_3,Technicien,depannage.view_payment
tech_other_3,Technicien,depannage.view_technician
tech_other_3,Technicien,depannage.change_repairrequest
tech_other_3,Technicien,depannage.view_conversation
tech_other_3,Technicien,depannage.view_repairrequest
tech_other_3,Technicien,depannage.view_technicianlocation
tech_other_3,Technicien,depannage.add_conversation
